image_id,fine_label
0,27
1,61
2,35
3,42
4,22
5,6
6,36
7,47
8,31
9,37
10,91
11,89
12,26
13,30
14,34
15,55
16,38
17,51
18,94
19,76
20,26
21,23
22,14
23,54
24,11
25,91
26,20
27,35
28,7
29,36
30,74
31,34
32,42
33,31
34,15
35,4
36,54
37,95
38,40
39,78
40,6
41,61
42,4
43,90
44,71
45,66
46,89
47,11
48,33
49,39
50,6
51,96
52,38
53,90
54,14
55,18
56,12
57,34
58,36
59,39
60,28
61,89
62,18
63,81
64,68
65,25
66,9
67,74
68,12
69,22
70,79
71,12
72,45
73,72
74,23
75,21
76,49
77,81
78,70
79,8
80,75
81,46
82,93
83,90
84,37
85,7
86,79
87,14
88,39
89,73
90,71
91,65
92,42
93,0
94,8
95,62
96,52
97,36
98,77
99,42
100,65
101,79
102,92
103,52
104,80
105,80
106,79
107,55
108,54
109,49
110,37
111,39
112,63
113,65
114,59
115,77
116,31
117,72
118,18
119,53
120,86
121,52
122,4
123,77
124,62
125,84
126,36
127,38
128,98
129,29
130,11
131,78
132,14
133,10
134,29
135,96
136,46
137,57
138,12
139,87
140,38
141,22
142,16
143,49
144,18
145,53
146,38
147,87
148,39
149,12
150,45
151,59
152,99
153,87
154,69
155,25
156,42
157,87
158,34
159,67
160,18
161,35
162,94
163,75
164,97
165,81
166,1
167,33
168,55
169,11
170,30
171,49
172,47
173,2
174,79
175,14
176,95
177,31
178,39
179,9
180,20
181,91
182,54
183,97
184,34
185,64
186,65
187,90
188,34
189,42
190,14
191,44
192,0
193,84
194,43
195,70
196,24
197,94
198,9
199,21
200,74
201,26
202,26
203,40
204,38
205,71
206,80
207,76
208,19
209,18
210,20
211,11
212,28
213,88
214,71
215,21
216,37
217,24
218,92
219,6
220,75
221,19
222,87
223,86
224,38
225,26
226,53
227,0
228,92
229,34
230,95
231,37
232,51
233,83
234,79
235,25
236,32
237,52
238,31
239,11
240,44
241,94
242,68
243,74
244,79
245,26
246,70
247,56
248,42
249,90
250,54
251,54
252,87
253,15
254,25
255,36
256,13
257,47
258,66
259,35
260,0
261,46
262,80
263,99
264,19
265,64
266,42
267,84
268,39
269,79
270,19
271,1
272,50
273,51
274,60
275,12
276,42
277,81
278,46
279,89
280,45
281,47
282,98
283,94
284,21
285,87
286,6
287,4
288,82
289,38
290,28
291,75
292,39
293,74
294,30
295,86
296,69
297,86
298,5
299,42
300,69
301,52
302,56
303,76
304,45
305,34
306,85
307,24
308,45
309,80
310,25
311,66
312,84
313,9
314,6
315,75
316,79
317,35
318,10
319,80
320,3
321,28
322,18
323,32
324,43
325,18
326,91
327,59
328,8
329,30
330,47
331,12
332,62
333,34
334,70
335,89
336,66
337,3
338,71
339,50
340,87
341,17
342,1
343,48
344,93
345,20
346,75
347,56
348,40
349,71
350,52
351,52
352,50
353,56
354,49
355,75
356,18
357,80
358,15
359,59
360,64
361,74
362,45
363,37
364,83
365,62
366,25
367,4
368,94
369,52
370,7
371,29
372,22
373,91
374,98
375,19
376,83
377,53
378,48
379,77
380,27
381,48
382,58
383,43
384,20
385,15
386,59
387,46
388,68
389,89
390,36
391,89
392,48
393,88
394,19
395,36
396,68
397,80
398,29
399,51
400,41
401,41
402,56
403,5
404,31
405,80
406,82
407,18
408,4
409,75
410,88
411,72
412,52
413,34
414,56
415,56
416,93
417,71
418,36
419,76
420,97
421,74
422,70
423,15
424,43
425,77
426,60
427,79
428,52
429,22
430,94
431,44
432,50
433,30
434,73
435,84
436,25
437,49
438,28
439,99
440,53
441,73
442,44
443,91
444,82
445,88
446,78
447,93
448,56
449,18
450,8
451,39
452,85
453,8
454,35
455,26
456,13
457,80
458,94
459,49
460,42
461,49
462,3
463,22
464,47
465,92
466,30
467,51
468,92
469,81
470,67
471,36
472,32
473,57
474,75
475,7
476,57
477,24
478,69
479,17
480,5
481,25
482,71
483,6
484,25
485,69
486,98
487,20
488,15
489,99
490,91
491,89
492,7
493,31
494,28
495,47
496,68
497,23
498,56
499,91
500,79
501,1
502,15
503,37
504,25
505,97
506,38
507,66
508,81
509,19
510,44
511,79
512,99
513,12
514,52
515,85
516,78
517,48
518,52
519,30
520,89
521,11
522,2
523,32
524,98
525,94
526,36
527,68
528,76
529,44
530,89
531,59
532,40
533,40
534,34
535,49
536,56
537,12
538,24
539,89
540,60
541,17
542,25
543,8
544,90
545,14
546,38
547,80
548,94
549,31
550,55
551,24
552,96
553,87
554,92
555,27
556,57
557,25
558,43
559,7
560,34
561,31
562,53
563,36
564,48
565,55
566,74
567,68
568,17
569,31
570,66
571,57
572,30
573,4
574,82
575,79
576,24
577,32
578,89
579,33
580,29
581,80
582,74
583,65
584,32
585,48
586,37
587,95
588,54
589,25
590,73
591,42
592,75
593,82
594,28
595,1
596,62
597,0
598,4
599,82
600,58
601,17
602,82
603,72
604,7
605,15
606,64
607,74
608,46
609,99
610,63
611,46
612,4
613,24
614,67
615,84
616,36
617,25
618,67
619,96
620,13
621,8
622,57
623,25
624,75
625,26
626,13
627,48
628,94
629,10
630,26
631,67
632,97
633,70
634,41
635,5
636,20
637,91
638,59
639,51
640,9
641,50
642,31
643,38
644,44
645,72
646,75
647,47
648,11
649,4
650,80
651,99
652,88
653,34
654,4
655,60
656,69
657,56
658,42
659,63
660,64
661,98
662,24
663,71
664,19
665,3
666,60
667,51
668,30
669,55
670,5
671,11
672,45
673,11
674,35
675,12
676,70
677,49
678,43
679,65
680,3
681,94
682,83
683,99
684,99
685,72
686,50
687,96
688,64
689,21
690,33
691,43
692,3
693,27
694,9
695,73
696,85
697,17
698,76
699,98
700,79
701,20
702,63
703,5
704,53
705,86
706,24
707,92
708,45
709,68
710,21
711,62
712,69
713,28
714,88
715,4
716,82
717,12
718,76
719,27
720,60
721,45
722,68
723,49
724,38
725,49
726,16
727,6
728,12
729,1
730,91
731,42
732,51
733,22
734,10
735,25
736,43
737,83
738,50
739,74
740,61
741,24
742,32
743,62
744,87
745,76
746,62
747,57
748,26
749,88
750,29
751,85
752,61
753,49
754,44
755,4
756,25
757,27
758,50
759,94
760,48
761,77
762,53
763,15
764,4
765,26
766,5
767,51
768,35
769,5
770,45
771,32
772,96
773,74
774,61
775,88
776,78
777,23
778,75
779,52
780,92
781,43
782,50
783,50
784,86
785,11
786,35
787,74
788,4
789,34
790,28
791,52
792,91
793,4
794,41
795,10
796,77
797,33
798,60
799,13
800,15
801,97
802,44
803,12
804,49
805,35
806,85
807,28
808,79
809,89
810,56
811,75
812,91
813,51
814,28
815,71
816,66
817,68
818,51
819,68
820,92
821,38
822,1
823,51
824,13
825,68
826,37
827,89
828,51
829,35
830,49
831,49
832,65
833,45
834,71
835,25
836,43
837,81
838,29
839,84
840,78
841,33
842,64
843,58
844,42
845,98
846,79
847,28
848,66
849,50
850,65
851,90
852,24
853,46
854,54
855,45
856,18
857,71
858,17
859,0
860,83
861,24
862,31
863,98
864,46
865,60
866,78
867,10
868,32
869,10
870,92
871,3
872,30
873,32
874,17
875,9
876,32
877,80
878,46
879,33
880,10
881,38
882,70
883,50
884,92
885,54
886,27
887,0
888,99
889,51
890,56
891,27
892,7
893,34
894,69
895,0
896,51
897,82
898,50
899,59
900,76
901,49
902,60
903,59
904,52
905,50
906,99
907,42
908,92
909,94
910,95
911,35
912,47
913,10
914,99
915,55
916,55
917,9
918,53
919,63
920,7
921,23
922,61
923,14
924,30
925,12
926,55
927,98
928,30
929,33
930,33
931,58
932,96
933,99
934,63
935,60
936,7
937,4
938,67
939,90
940,5
941,74
942,58
943,91
944,43
945,60
946,14
947,64
948,30
949,68
950,62
951,95
952,75
953,28
954,21
955,23
956,36
957,54
958,51
959,27
960,25
961,23
962,57
963,0
964,54
965,39
966,88
967,16
968,71
969,99
970,81
971,81
972,64
973,72
974,7
975,94
976,86
977,15
978,35
979,86
980,77
981,4
982,72
983,37
984,9
985,88
986,58
987,40
988,47
989,91
990,65
991,18
992,94
993,90
994,92
995,76
996,37
997,9
998,56
999,72
1000,72
1001,30
1002,10
1003,7
1004,97
1005,45
1006,26
1007,63
1008,94
1009,22
1010,75
1011,87
1012,80
1013,4
1014,87
1015,62
1016,67
1017,50
1018,85
1019,32
1020,43
1021,52
1022,3
1023,52
1024,92
1025,98
1026,89
1027,79
1028,58
1029,3
1030,25
1031,70
1032,36
1033,28
1034,48
1035,84
1036,5
1037,10
1038,94
1039,22
1040,66
1041,22
1042,99
1043,48
1044,42
1045,39
1046,12
1047,12
1048,76
1049,58
1050,53
1051,20
1052,14
1053,85
1054,47
1055,45
1056,79
1057,80
1058,2
1059,3
1060,73
1061,45
1062,31
1063,3
1064,32
1065,25
1066,59
1067,28
1068,46
1069,24
1070,49
1071,98
1072,73
1073,9
1074,60
1075,17
1076,10
1077,9
1078,70
1079,60
1080,17
1081,57
1082,69
1083,76
1084,65
1085,30
1086,98
1087,64
1088,49
1089,69
1090,24
1091,1
1092,16
1093,54
1094,75
1095,28
1096,8
1097,44
1098,64
1099,55
1100,27
1101,38
1102,77
1103,37
1104,5
1105,17
1106,13
1107,43
1108,67
1109,23
1110,41
1111,70
1112,79
1113,9
1114,38
1115,78
1116,33
1117,49
1118,27
1119,51
1120,35
1121,37
1122,42
1123,33
1124,17
1125,99
1126,55
1127,81
1128,3
1129,62
1130,91
1131,29
1132,40
1133,47
1134,98
1135,78
1136,95
1137,41
1138,74
1139,42
1140,51
1141,35
1142,76
1143,78
1144,91
1145,19
1146,49
1147,97
1148,82
1149,58
1150,47
1151,17
1152,38
1153,52
1154,15
1155,27
1156,61
1157,97
1158,82
1159,91
1160,13
1161,67
1162,60
1163,87
1164,3
1165,75
1166,79
1167,92
1168,8
1169,37
1170,7
1171,26
1172,96
1173,32
1174,51
1175,70
1176,27
1177,98
1178,74
1179,67
1180,2
1181,76
1182,73
1183,65
1184,78
1185,52
1186,39
1187,68
1188,62
1189,30
1190,54
1191,88
1192,32
1193,60
1194,53
1195,18
1196,24
1197,32
1198,69
1199,20
1200,56
1201,17
1202,88
1203,81
1204,12
1205,39
1206,57
1207,21
1208,62
1209,94
1210,68
1211,61
1212,1
1213,17
1214,78
1215,56
1216,87
1217,57
1218,79
1219,3
1220,57
1221,48
1222,52
1223,75
1224,28
1225,53
1226,42
1227,54
1228,54
1229,33
1230,46
1231,43
1232,27
1233,17
1234,75
1235,3
1236,37
1237,11
1238,38
1239,68
1240,78
1241,38
1242,1
1243,16
1244,60
1245,54
1246,36
1247,48
1248,55
1249,82
1250,84
1251,1
1252,93
1253,76
1254,59
1255,62
1256,85
1257,65
1258,87
1259,86
1260,17
1261,7
1262,4
1263,23
1264,22
1265,47
1266,73
1267,47
1268,8
1269,99
1270,7
1271,21
1272,40
1273,3
1274,92
1275,35
1276,73
1277,72
1278,75
1279,54
1280,75
1281,30
1282,11
1283,26
1284,81
1285,26
1286,83
1287,39
1288,5
1289,63
1290,48
1291,9
1292,70
1293,37
1294,37
1295,60
1296,56
1297,76
1298,31
1299,44
1300,79
1301,8
1302,91
1303,45
1304,19
1305,42
1306,99
1307,18
1308,42
1309,94
1310,74
1311,94
1312,39
1313,37
1314,24
1315,96
1316,17
1317,37
1318,56
1319,74
1320,85
1321,76
1322,32
1323,34
1324,74
1325,86
1326,78
1327,23
1328,7
1329,60
1330,71
1331,31
1332,66
1333,70
1334,63
1335,4
1336,71
1337,94
1338,35
1339,36
1340,98
1341,14
1342,80
1343,32
1344,27
1345,88
1346,10
1347,33
1348,30
1349,86
1350,9
1351,6
1352,69
1353,92
1354,45
1355,30
1356,84
1357,85
1358,37
1359,35
1360,22
1361,38
1362,62
1363,93
1364,82
1365,56
1366,94
1367,48
1368,99
1369,53
1370,60
1371,1
1372,31
1373,57
1374,54
1375,24
1376,69
1377,99
1378,31
1379,59
1380,91
1381,6
1382,64
1383,83
1384,55
1385,33
1386,44
1387,83
1388,72
1389,78
1390,12
1391,16
1392,32
1393,36
1394,82
1395,55
1396,53
1397,86
1398,11
1399,48
1400,56
1401,21
1402,0
1403,74
1404,19
1405,4
1406,87
1407,32
1408,77
1409,98
1410,66
1411,7
1412,60
1413,64
1414,32
1415,91
1416,62
1417,4
1418,23
1419,58
1420,22
1421,88
1422,78
1423,45
1424,59
1425,96
1426,18
1427,83
1428,75
1429,11
1430,5
1431,22
1432,88
1433,18
1434,15
1435,36
1436,67
1437,58
1438,84
1439,43
1440,41
1441,63
1442,98
1443,31
1444,95
1445,43
1446,24
1447,62
1448,62
1449,31
1450,34
1451,77
1452,86
1453,37
1454,8
1455,38
1456,37
1457,7
1458,97
1459,23
1460,65
1461,45
1462,70
1463,19
1464,63
1465,34
1466,35
1467,97
1468,28
1469,8
1470,91
1471,91
1472,32
1473,91
1474,89
1475,54
1476,59
1477,51
1478,50
1479,34
1480,75
1481,40
1482,73
1483,63
1484,88
1485,42
1486,60
1487,81
1488,8
1489,63
1490,29
1491,64
1492,70
1493,72
1494,0
1495,42
1496,63
1497,87
1498,91
1499,42
1500,6
1501,27
1502,49
1503,90
1504,19
1505,39
1506,94
1507,81
1508,9
1509,56
1510,75
1511,41
1512,93
1513,20
1514,29
1515,28
1516,19
1517,77
1518,87
1519,56
1520,53
1521,49
1522,98
1523,32
1524,92
1525,75
1526,42
1527,3
1528,63
1529,40
1530,76
1531,78
1532,57
1533,53
1534,55
1535,31
1536,68
1537,92
1538,12
1539,82
1540,72
1541,45
1542,5
1543,24
1544,91
1545,61
1546,10
1547,26
1548,1
1549,27
1550,62
1551,58
1552,14
1553,40
1554,93
1555,39
1556,88
1557,50
1558,25
1559,77
1560,98
1561,55
1562,53
