image_id,coarse_label
0,15
1,3
2,1
3,8
4,3
5,2
6,8
7,3
8,12
9,9
10,4
11,9
12,13
13,0
14,15
15,15
16,15
17,7
18,6
19,1
20,13
21,10
22,7
23,2
24,14
25,0
26,6
27,14
28,7
29,14
30,16
31,8
32,8
33,11
34,3
35,7
36,2
37,0
38,18
39,6
40,7
41,8
42,0
43,18
44,10
45,12
46,19
47,14
48,10
49,5
50,8
51,17
52,11
53,19
54,15
55,7
56,18
57,11
58,14
59,5
60,12
61,19
62,7
63,18
64,9
65,0
66,3
67,12
68,9
69,15
70,13
71,9
72,18
73,0
74,10
75,12
76,10
77,19
78,7
79,6
80,15
81,8
82,1
83,9
84,9
85,7
86,7
87,15
88,9
89,10
90,10
91,14
92,13
93,4
94,18
95,2
96,17
97,16
98,12
99,8
100,11
101,15
102,2
103,17
104,3
105,15
106,7
107,0
108,2
109,0
110,9
111,5
112,12
113,0
114,17
115,16
116,8
117,19
118,8
119,4
120,5
121,17
122,7
123,13
124,8
125,6
126,13
127,11
128,14
129,11
130,14
131,14
132,7
133,1
134,18
135,17
136,13
137,14
138,9
139,3
140,10
141,3
142,3
143,9
144,15
145,4
146,11
147,6
148,2
149,19
150,0
151,17
152,13
153,5
154,19
155,16
156,13
157,5
158,8
159,1
160,12
161,14
162,6
163,7
164,8
165,19
166,1
167,1
168,11
169,14
170,0
171,3
172,17
173,14
174,8
175,12
176,0
177,11
178,6
179,3
180,6
181,1
182,2
183,1
184,7
185,8
186,7
187,18
188,8
189,8
190,7
191,17
192,4
193,15
194,15
195,2
196,7
197,6
198,3
199,19
200,15
201,13
202,18
203,6
204,17
205,10
206,18
207,15
208,6
209,7
210,6
211,19
212,14
213,8
214,10
215,11
216,9
217,7
218,2
219,7
220,12
221,11
222,18
223,7
224,11
225,8
226,4
227,4
228,4
229,16
230,0
231,9
232,11
233,2
234,7
235,6
236,16
237,17
238,11
239,14
240,13
241,6
242,9
243,8
244,17
245,7
246,2
247,17
248,8
249,19
250,2
251,2
252,5
253,11
254,5
255,16
256,19
257,17
258,13
259,14
260,4
261,0
262,16
263,13
264,11
265,18
266,8
267,18
268,5
269,7
270,17
271,7
272,7
273,1
274,10
275,10
276,8
277,19
278,14
279,19
280,14
281,2
282,14
283,6
284,15
285,5
286,4
287,8
288,2
289,15
290,3
291,7
292,18
293,12
294,0
295,5
296,19
297,5
298,6
299,8
300,19
301,17
302,17
303,9
304,13
305,12
306,15
307,7
308,15
309,8
310,6
311,12
312,6
313,3
314,14
315,12
316,15
317,14
318,12
319,19
320,0
321,12
322,13
323,14
324,8
325,7
326,1
327,17
328,18
329,0
330,17
331,6
332,2
333,8
334,7
335,3
336,8
337,11
338,10
339,3
340,3
341,9
342,5
343,18
344,15
345,6
346,15
347,17
348,5
349,10
350,17
351,17
352,8
353,17
354,9
355,12
356,0
357,8
358,14
359,17
360,15
361,8
362,3
363,9
364,4
365,2
366,6
367,8
368,6
369,17
370,4
371,15
372,5
373,1
374,14
375,11
376,4
377,4
378,18
379,0
380,12
381,18
382,18
383,12
384,6
385,0
386,19
387,4
388,9
389,19
390,8
391,19
392,18
393,8
394,6
395,16
396,9
397,8
398,15
399,12
400,19
401,11
402,5
403,6
404,11
405,13
406,2
407,1
408,12
409,12
410,8
411,19
412,17
413,18
414,17
415,17
416,1
417,10
418,1
419,9
420,8
421,16
422,2
423,11
424,8
425,7
426,10
427,7
428,17
429,5
430,6
431,19
432,3
433,15
434,1
435,6
436,6
437,5
438,6
439,5
440,17
441,0
442,7
443,15
444,7
445,8
446,7
447,12
448,17
449,18
450,3
451,16
452,17
453,17
454,14
455,12
456,11
457,8
458,6
459,10
460,8
461,10
462,7
463,5
464,17
465,2
466,0
467,2
468,2
469,11
470,3
471,8
472,15
473,6
474,14
475,7
476,13
477,9
478,19
479,9
480,9
481,6
482,0
483,7
484,18
485,19
486,14
487,6
488,5
489,1
490,1
491,18
492,7
493,11
494,3
495,17
496,9
497,10
498,17
499,1
500,7
501,1
502,11
503,9
504,5
505,8
506,12
507,12
508,19
509,11
510,15
511,13
512,13
513,9
514,17
515,10
516,15
517,18
518,17
519,0
520,12
521,14
522,14
523,18
524,14
525,6
526,8
527,9
528,9
529,13
530,19
531,10
532,3
533,18
534,8
535,1
536,17
537,9
538,7
539,18
540,10
541,9
542,1
543,6
544,19
545,13
546,12
547,12
548,6
549,11
550,18
551,7
552,10
553,5
554,2
555,7
556,4
557,6
558,12
559,7
560,19
561,6
562,4
563,3
564,18
565,0
566,16
567,18
568,9
569,9
570,12
571,4
572,13
573,7
574,4
575,13
576,2
577,3
578,9
579,17
580,15
581,0
582,18
583,12
584,18
585,18
586,9
587,0
588,2
589,8
590,0
591,8
592,12
593,2
594,5
595,15
596,1
597,4
598,12
599,2
600,15
601,9
602,2
603,4
604,18
605,11
606,16
607,15
608,14
609,5
610,16
611,5
612,12
613,7
614,16
615,14
616,16
617,6
618,17
619,10
620,18
621,11
622,4
623,7
624,12
625,1
626,18
627,18
628,6
629,4
630,8
631,10
632,8
633,18
634,19
635,18
636,6
637,15
638,15
639,19
640,3
641,8
642,17
643,8
644,16
645,7
646,12
647,17
648,4
649,7
650,12
651,13
652,3
653,7
654,19
655,10
656,19
657,17
658,8
659,12
660,6
661,11
662,7
663,10
664,11
665,8
666,10
667,19
668,0
669,19
670,19
671,14
672,13
673,14
674,14
675,9
676,1
677,6
678,8
679,15
680,15
681,6
682,4
683,13
684,19
685,11
686,8
687,17
688,18
689,11
690,10
691,2
692,12
693,15
694,19
695,1
696,19
697,9
698,9
699,13
700,17
701,6
702,13
703,6
704,17
705,5
706,7
707,2
708,12
709,18
710,0
711,2
712,19
713,19
714,8
715,11
716,2
717,6
718,9
719,1
720,10
721,13
722,9
723,9
724,12
725,10
726,0
727,15
728,9
729,15
730,1
731,12
732,19
733,5
734,19
735,6
736,0
737,7
738,16
739,15
740,5
741,13
742,14
743,2
744,5
745,3
746,2
747,9
748,13
749,8
750,13
751,19
752,3
753,10
754,15
755,15
756,3
757,15
758,8
759,6
760,18
761,13
762,4
763,11
764,8
765,7
766,6
767,18
768,13
769,6
770,13
771,18
772,17
773,8
774,3
775,3
776,15
777,10
778,19
779,17
780,2
781,6
782,12
783,16
784,5
785,14
786,14
787,12
788,8
789,16
790,0
791,17
792,1
793,11
794,7
795,3
796,7
797,6
798,10
799,18
800,9
801,5
802,12
803,13
804,9
805,0
806,19
807,11
808,11
809,19
810,17
811,12
812,18
813,8
814,3
815,19
816,8
817,9
818,11
819,10
820,5
821,15
822,1
823,8
824,9
825,9
826,17
827,19
828,2
829,14
830,9
